Title,Tags
Name of Managing Agent:,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD
Managing Agent Contact No.:,64732588
MCST No:,0076
UEN:,S71MC0076G
Date of MC Constitution:,29/01/1971
Development Name:,MARTABAN COURT
Status:,Terminated
Development Location:,26/A/B/C MARTABAN ROAD SINGAPORE 328644
MC Address:,"TECH PARK CRESCENT

 SINGAPORE"
MC Contact No.:,
Name of Managing Agent:,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD
Managing Agent Contact No.:,64685100
MCST No:,0077
UEN:,S71MC0077C
Date of MC Constitution:,05/02/1971
Development Name:,ST. MARTIN'S PL (Terminated)
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD
Managing Agent Contact No.:,64685100
MCST No:,0078
UEN:,S71MC0078K
Date of MC Constitution:,15/02/1971
Development Name:,FORD MANSION (strata scheme terminated)
Status:,Terminated
Development Location:,7D FORD AVENUE SINGAPORE 268685
MC Address:,"5 TEMASEK BOULEVARD
#7-2 SUNTEC TOWER FIVE
 SINGAPORE 38985"
MC Contact No.:,62218288
Name of Managing Agent:,CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD
Managing Agent Contact No.:,62218288
MCST No:,0079
UEN:,S71MC0079F
Date of MC Constitution:,16/02/1971
Development Name:,HOLLAND TOWER
Status:,Active
Development Location:,10A HOLLAND HEIGHTS SINGAPORE 249510
MC Address:,"10 HOLLAND HEIGHTS
HOLLAND TOWER
 SINGAPORE 249510"
MC Contact No.:,62218288
Name of Managing Agent:,SRE Global Pte Ltd
Managing Agent Contact No.:,62218288
MCST No:,0080
UEN:,S71MC0080C
Date of MC Constitution:,20/02/1971
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0080
Status:,Active
Development Location:,343 TELOK KURAU ROAD SINGAPORE 423870
MC Address:,"343 TELOK KURAU ROAD

 SINGAPORE 423870"
MC Contact No.:,98553000
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0081
UEN:,S71MC0081K
Date of MC Constitution:,27/02/1971
Development Name:,PEAKVILLE MANSION
Status:,Active
Development Location:,18B JALAN PARI KIKIS SINGAPORE 488551
MC Address:,"701 GEYLANG ROAD
#03-04 TEAMBUILD CENTRE
 SINGAPORE 389687"
MC Contact No.:,64664703
Name of Managing Agent:,Barringham International Property Management Pte Ltd
Managing Agent Contact No.:,64664703
MCST No:,0082
UEN:,S71MC0082F
Date of MC Constitution:,26/03/1971
Development Name:,27 BALMORAL PARK
Status:,Active
Development Location:,27 BALMORAL PARK SINGAPORE 259855
MC Address:,"21 BUKIT BATOK CRESCENT
#26-83 WCEGA TOWER
 SINGAPORE 658065"
MC Contact No.:,64111670
Name of Managing Agent:,Chambers Property Management Services Pte Ltd
Managing Agent Contact No.:,64111670
MCST No:,0083
UEN:,S71MC0083B
Date of MC Constitution:,26/03/1971
Development Name:,31 BALMORAL PARK
Status:,Active
Development Location:,33L BALMORAL PARK SINGAPORE 259858
MC Address:,"31 BALMORAL PARK
#01-31 31 BALMORAL PARK
 SINGAPORE 259858"
MC Contact No.:,64685100
Name of Managing Agent:,Chambers Property Management Services Pte Ltd
Managing Agent Contact No.:,64111670
MCST No:,0084
UEN:,S71MC0084J
Date of MC Constitution:,30/03/1971
Development Name:,THE MANAGEMENT CORPORATION STRATA TITLE PLAN NO 0084
Status:,Active
Development Location:,6 GREENWOOD AVENUE SINGAPORE 289204
MC Address:,"420 NORTH BRIDGE ROAD
#06-01 NORTH BRIDGE CENTRE
 SINGAPORE 188727"
MC Contact No.:,63370087
Name of Managing Agent:,Earnest Management Services Pte Ltd
Managing Agent Contact No.:,63370087
MCST No:,0085
UEN:,S71MC0085E
Date of MC Constitution:,19/04/1971
Development Name:,98-98E UPPER EAST COAST
Status:,Active
Development Location:,98E UPPER EAST COAST ROAD SINGAPORE 455237
MC Address:,"98A UPPER EAST COAST ROAD
98-98E UPPER EAST COAST ROAD (455237)
 SINGAPORE 455237"
MC Contact No.:,97873645
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0086
UEN:,S71MC0086A
Date of MC Constitution:,11/05/1971
Development Name:,GOLDHILL MANSION (Terminated)
Status:,Terminated
Development Location:,9 JERVOIS ROAD SINGAPORE 249104
MC Address:,"JERVOIS CLOSE

 SINGAPORE"
MC Contact No.:,
Name of Managing Agent:,ASCENT PROPERTY MANAGEMENT SERVICES PTE LTD
Managing Agent Contact No.:,64497141
MCST No:,0087
UEN:,S71MC0087H
Date of MC Constitution:,27/05/1971
Development Name:,QUE LIN GARDEN (Terminated)
Status:,Terminated
Development Location:,35F ST. THOMAS WALK SINGAPORE 238123
MC Address:,"ST. THOMAS WALK
QUE LIN GARDEN
 SINGAPORE 238123"
MC Contact No.:,96737817
Name of Managing Agent:,GARDENEA MANAGEMENT SERVICES
Managing Agent Contact No.:,96737817
MCST No:,0088
UEN:,S71MC0088D
Date of MC Constitution:,01/06/1971
Development Name:,RAINBOW MANSION
Status:,Active
Development Location:,4B ONE TREE HILL SINGAPORE 249601
MC Address:,"101 CECIL STREET
#24-07 TONG ENG BUILDING
 SINGAPORE 069533"
MC Contact No.:,63362453
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0089
UEN:,S71MC0089L
Date of MC Constitution:,02/07/1971
Development Name:,
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,PIONEER ENTERPRISE PTE LTD
Managing Agent Contact No.:,63362453
MCST No:,0090
UEN:,S71MC0090H
Date of MC Constitution:,21/07/1971
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0090
Status:,Active
Development Location:,9A LORONG 17 GEYLANG SINGAPORE 388542
MC Address:,"11A LORONG 17 GEYLANG
11A
 SINGAPORE 388542"
MC Contact No.:,67443388
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0091
UEN:,S71MC0091D
Date of MC Constitution:,06/08/1971
Development Name:,CARPMAEL LODGE
Status:,Active
Development Location:,6F CARPMAEL ROAD SINGAPORE 429754
MC Address:,"6F CARPMAEL ROAD
CARPMAEL LODGE
 SINGAPORE 429754"
MC Contact No.:,+6593211968
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0092
UEN:,S71MC0092L
Date of MC Constitution:,07/08/1971
Development Name:,GOLDHILL CENTRE
Status:,Active
Development Location:,169/A/B THOMSON ROAD SINGAPORE 307632
MC Address:,"540 SIMS AVENUE
#03-06 SIMS AVENUE CENTRE
 SINGAPORE 387603"
MC Contact No.:,68421731
Name of Managing Agent:,LANDSFIELD PROPERTY CONSULTANTS PTE LTD
Managing Agent Contact No.:,68421731
MCST No:,0093
UEN:,S71MC0093G
Date of MC Constitution:,06/08/1971
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0093
Status:,Active
Development Location:,27A LORONG 15 GEYLANG SINGAPORE 388612
MC Address:,"27 LORONG 15 GEYLANG

 SINGAPORE 388614"
MC Contact No.:,63389883
Name of Managing Agent:,Dawson Property Management Pte Ltd
Managing Agent Contact No.:,63389883
MCST No:,0094
UEN:,S71MC0094C
Date of MC Constitution:,22/09/1971
Development Name:,
Status:,Terminated
Development Location:,8B LORONG 7 GEYLANG SINGAPORE 388792
MC Address:,"8B LORONG 7 GEYLANG

 SINGAPORE 388792"
MC Contact No.:,
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0095
UEN:,S71MC0095K
Date of MC Constitution:,25/09/1971
Development Name:,
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0096
UEN:,S71MC0096F
Date of MC Constitution:,25/09/1971
Development Name:,
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0097
UEN:,S71MC0097B
Date of MC Constitution:,25/09/1971
Development Name:,
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0098
UEN:,S71MC0098J
Date of MC Constitution:,25/09/1971
Development Name:,
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0099
UEN:,S71MC0099E
Date of MC Constitution:,25/09/1971
Development Name:,
Status:,Terminated
Development Location:,
MC Address:,"STRATA TITLES SCHEME TERMINATED
 SINGAPORE"
MC Contact No.:,
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0100
UEN:,S71MC0100J
Date of MC Constitution:,20/10/1971
Development Name:,ST THOMAS APT. (Terminated)
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0101
UEN:,S71MC0101E
Date of MC Constitution:,27/10/1971
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0101
Status:,Active
Development Location:,188-1B TANJONG KATONG ROAD SINGAPORE 436990
MC Address:,"TANJONG KATONG ROAD

 SINGAPORE 436990"
MC Contact No.:,64740828
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0102
UEN:,S71MC0102A
Date of MC Constitution:,27/10/1971
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0102
Status:,Active
Development Location:,188-2B TANJONG KATONG ROAD SINGAPORE 436990
MC Address:,"TANJONG KATONG ROAD

 SINGAPORE 436990"
MC Contact No.:,
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0103
UEN:,S71MC0103H
Date of MC Constitution:,27/10/1971
Development Name:,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0103
Status:,Active
Development Location:,188-3B TANJONG KATONG ROAD SINGAPORE 436990
MC Address:,"TANJONG KATONG ROAD

 SINGAPORE 436990"
MC Contact No.:,64446398
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0104
UEN:,S71MC0104D
Date of MC Constitution:,27/10/1971
Development Name:,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0104
Status:,Active
Development Location:,188-4B TANJONG KATONG ROAD SINGAPORE 436990
MC Address:,"TANJONG KATONG ROAD

 SINGAPORE 436990"
MC Contact No.:,64404538
Name of Managing Agent:,N
Managing Agent Contact No.:,
MCST No:,0105
UEN:,S71MC0105L
Date of MC Constitution:,27/10/1971
Development Name:,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0105
Status:,Active
Development Location:,188-5B TANJONG KATONG ROAD SINGAPORE 436990
MC Address:,"TANJONG KATONG ROAD

 SINGAPORE 436990"
MC Contact No.:,
Name of Managing Agent:,N
Managing Agent Contact No.:,
MCST No:,0106
UEN:,S71MC0106G
Date of MC Constitution:,27/10/1971
Development Name:,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0106
Status:,Active
Development Location:,188-6B TANJONG KATONG ROAD SINGAPORE 436990
MC Address:,"TANJONG KATONG ROAD

 SINGAPORE 436990"
MC Contact No.:,64488996
Name of Managing Agent:,N
Managing Agent Contact No.:,
MCST No:,0107
UEN:,S71MC0107C
Date of MC Constitution:,27/10/1971
Development Name:,MANAGEMENT CORPN STRATA TITLE PLAN NO. 107
Status:,Active
Development Location:,188-7B TANJONG KATONG ROAD SINGAPORE 593001
MC Address:,"TANJONG KATONG ROAD
#13-15 
 SINGAPORE 593001"
MC Contact No.:,64668110
Name of Managing Agent:,N
Managing Agent Contact No.:,
MCST No:,0108
UEN:,S71MC0108K
Date of MC Constitution:,27/10/1971
Development Name:,MANAGMENT CORPORATION STRATA TITLE PLAN NO. 0108
Status:,Active
Development Location:,188-8B TANJONG KATONG ROAD SINGAPORE 436990
MC Address:,"1 PALM AVENUE

 SINGAPORE 456520"
MC Contact No.:,64465728
Name of Managing Agent:,N
Managing Agent Contact No.:,
MCST No:,0109
UEN:,S71MC0109F
Date of MC Constitution:,27/10/1971
Development Name:,MANAGEMENT CORPN STRATA TITLE PLAN NO. 109
Status:,Active
Development Location:,188-9B TANJONG KATONG ROAD SINGAPORE 436990
MC Address:,"188-9B TANJONG KATONG ROAD

 SINGAPORE 436990"
MC Contact No.:,
Name of Managing Agent:,N
Managing Agent Contact No.:,
MCST No:,0110
UEN:,S71MC0110C
Date of MC Constitution:,27/10/1971
Development Name:,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0110
Status:,Active
Development Location:,188-10B TANJONG KATONG ROAD SINGAPORE 436990
MC Address:,"363 JOO CHIAT ROAD

 SINGAPORE 427608"
MC Contact No.:,63458080
Name of Managing Agent:,N
Managing Agent Contact No.:,
MCST No:,0111
UEN:,S71MC0111K
Date of MC Constitution:,02/11/1971
Development Name:,NORTHERN MANSION
Status:,Terminated
Development Location:,99J MERGUI ROAD SINGAPORE 219065
MC Address:,"97 MERGUI ROAD
NORTHERN MANASION
 SINGAPORE 219065"
MC Contact No.:,66653880
Name of Managing Agent:,PROPMAG MANAGEMENT SERVICES PTE LTD
Managing Agent Contact No.:,66653880
MCST No:,0112
UEN:,S71MC0112F
Date of MC Constitution:,23/11/1971
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0112
Status:,Active
Development Location:,4B ST. GEORGES ROAD SINGAPORE 328023
MC Address:,"4 ST. GEORGES ROAD

 SINGAPORE 328024"
MC Contact No.:,97532153
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0113
UEN:,S71MC0113B
Date of MC Constitution:,06/12/1971
Development Name:,JERVOIS COURT (Terminated)
Status:,Terminated
Development Location:,16B JERVOIS CLOSE SINGAPORE 249108
MC Address:,"ALEXANDRA ROAD

 SINGAPORE"
MC Contact No.:,
Name of Managing Agent:,ASCENT PROPERTY MANAGEMENT SERVICES PTE LTD
Managing Agent Contact No.:,64497141
MCST No:,0114
UEN:,S71MC0114J
Date of MC Constitution:,18/12/1971
Development Name:,enbloc
Status:,Terminated
Development Location:,222/A-C BALESTIER ROAD SINGAPORE 328686
MC Address:,"80 MARINE PARADE ROAD
#21-01 PARKWAY PARADE
 SINGAPORE 449269"
MC Contact No.:,
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0115
UEN:,S71MC0115E
Date of MC Constitution:,21/12/1971
Development Name:,
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD
Managing Agent Contact No.:,64661342
MCST No:,0116
UEN:,S72MC0116F
Date of MC Constitution:,28/01/1972
Development Name:,DRAGON MANSION
Status:,Terminated
Development Location:,18 SPOTTISWOODE PARK ROAD SINGAPORE 088642
MC Address:,"15 WEST COAST HIGHWAY
#04-01 PASIR PANJANG BUILDING
 SINGAPORE 117861"
MC Contact No.:,67792711
Name of Managing Agent:,Stature Real Estate Enterprises Pte Ltd
Managing Agent Contact No.:,67792711
MCST No:,0117
UEN:,S72MC0117B
Date of MC Constitution:,01/02/1972
Development Name:,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0117
Status:,Active
Development Location:,64 LORONG N TELOK KURAU SINGAPORE 425204
MC Address:,"64 LORONG N TELOK KURAU

 SINGAPORE 425204"
MC Contact No.:,64402938
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0118
UEN:,S72MC0118J
Date of MC Constitution:,01/02/1972
Development Name:,NIL
Status:,Terminated
Development Location:,537C EAST COAST ROAD SINGAPORE 429068
MC Address:,"531A EAST COAST ROAD

 SINGAPORE 429065"
MC Contact No.:,63443988
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0119
UEN:,S72MC0119E
Date of MC Constitution:,05/02/1972
Development Name:,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0119
Status:,Active
Development Location:,14 HAIG AVENUE SINGAPORE 438869
MC Address:,"HAIG AVENUE

 SINGAPORE 438869"
MC Contact No.:,
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0120
UEN:,S72MC0120B
Date of MC Constitution:,28/02/1972
Development Name:,BEE HWA COURT (Terminated)
Status:,Terminated
Development Location:,17L OXLEY ROAD SINGAPORE 238618
MC Address:,"SIMS AVENUE

 SINGAPORE"
MC Contact No.:,
Name of Managing Agent:,LANDSFIELD PROPERTY CONSULTANTS PTE LTD (Mr Peh)
Managing Agent Contact No.:,68421731
MCST No:,0121
UEN:,S72MC0121J
Date of MC Constitution:,01/03/1972
Development Name:,BRIGHTS APARTMENT
Status:,Terminated
Development Location:,57D IRRAWADDY ROAD SINGAPORE 329551
MC Address:,"51 IRRAWADDY ROAD
BRIGHT APPARTMENT
 SINGAPORE 329551"
MC Contact No.:,62551206
Name of Managing Agent:,LANDSFIELD PROPERTY CONSULTANTS PTE LTD (Mr Peh)
Managing Agent Contact No.:,68421731
MCST No:,0122
UEN:,S72MC0122E
Date of MC Constitution:,21/03/1972
Development Name:,South Union Park
Status:,Active
Development Location:,59C JALAN TUA KONG SINGAPORE 457254
MC Address:,"56 LORONG 16 GEYLANG
SOUTH UNION PARK
 SINGAPORE 398885"
MC Contact No.:,62747305
Name of Managing Agent:,Camrie Project and Estate Management
Managing Agent Contact No.:,62747305
MCST No:,0123
UEN:,S72MC0123A
Date of MC Constitution:,21/03/1972
Development Name:,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0123
Status:,Active
Development Location:,79B LORONG 8 GEYLANG SINGAPORE 399142
MC Address:,"81A LORONG 8 GEYLANG

 SINGAPORE 399143"
MC Contact No.:,92955193
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0124
UEN:,S72MC0124H
Date of MC Constitution:,27/03/1972
Development Name:,HERTFORD MANSION
Status:,Active
Development Location:,18/A/B HERTFORD ROAD SINGAPORE 219847
MC Address:,"21 BRISTOL ROAD
HERTFORD MANSION
 SINGAPORE 219847"
MC Contact No.:,65549591
Name of Managing Agent:,AMPM Property Consultants Pte Ltd
Managing Agent Contact No.:,65549591
MCST No:,0125
UEN:,S72MC0125D
Date of MC Constitution:,01/01/1976
Development Name:,
Status:,Terminated
Development Location:,458/A/B/C BALESTIER ROAD SINGAPORE 329834
MC Address:,"454 - 458 BALESTIER ROAD

 SINGAPORE 329880"
MC Contact No.:,63361214
Name of Managing Agent:,LOO & LEE SECRETARIAL & MANAGEMENT PTE LTD
Managing Agent Contact No.:,63372410
MCST No:,0126
UEN:,S72MC0126L
Date of MC Constitution:,30/03/1972
Development Name:,REALTY PARK
Status:,Active
Development Location:,48/A LORONG 1 REALTY PARK SINGAPORE 536957
MC Address:,"6001 BEACH ROAD
#13-07 BEACH ROAD
 SINGAPORE 199589"
MC Contact No.:,62981416
Name of Managing Agent:,LE Property Consultancy Pte Ltd
Managing Agent Contact No.:,62981416
MCST No:,0127
UEN:,S72MC0127G
Date of MC Constitution:,30/03/1972
Development Name:,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0127
Status:,Active
Development Location:,33 LORONG 17 GEYLANG SINGAPORE 388557
MC Address:,"33B LORONG 17 GEYLANG

 SINGAPORE 388557"
MC Contact No.:,62878532
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0128
UEN:,S72MC0128C
Date of MC Constitution:,05/04/1972
Development Name:,BAN GUAN PARK
Status:,Terminated
Development Location:,
MC Address:,"68 GREENLEAF ROAD
BAN GUAN PARK
 SINGAPORE 279355"
MC Contact No.:,67788595
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0129
UEN:,S72MC0129K
Date of MC Constitution:,15/04/1972
Development Name:,
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD
Managing Agent Contact No.:,64661342
MCST No:,0130
UEN:,S72MC0130G
Date of MC Constitution:,25/05/1972
Development Name:,WOOLLERTON PARK APARTMENT
Status:,Active
Development Location:,36E WOOLLERTON PARK SINGAPORE 257530
MC Address:,"30 WOOLLERTON PARK
WOOLLERTON PARK APARTMENTS
 SINGAPORE 257530"
MC Contact No.:,64669723
Name of Managing Agent:,Premier Property Consultancy Pte Ltd
Managing Agent Contact No.:,67412885
MCST No:,0131
UEN:,S72MC0131C
Date of MC Constitution:,26/05/1972
Development Name:,MUTUAL COURT
Status:,Terminated
Development Location:,8/A/B/C/D MAR THOMA ROAD SINGAPORE 328694
MC Address:,"531 UPPER CROSS STREET
#4-12 HONG LIM COMPLEX
 SINGAPORE 50531"
MC Contact No.:,63345565
Name of Managing Agent:,DICKSON PROPERTY CONSULTANTS PTE LTD
Managing Agent Contact No.:,63345565
MCST No:,0132
UEN:,S72MC0132K
Date of MC Constitution:,31/05/1972
