MCST No:,UEN:,Date of MC Constitution:,Development Name:,Status:,Development Location:,MC Address:,MC Contact No.:,Name of Managing Agent:,Managing Agent Contact No.:
2659,T02MC2659L,17/04/2002,WHARTON VALE,Active,68 SOPHIA ROAD SINGAPORE 58698,"68 SOPHIA ROAD
WHARTON VALE
 SINGAPORE 228187",66653880,SRE Management Services Pte Ltd,96702887
2660,T02MC2660H,18/04/2002,Management Corporation Strata Title No. 2660 (TERMINATED),Terminated,267 JOO CHIAT ROAD SINGAPORE 427521,"77 JALAN TUA KONG
#4-2 
 SINGAPORE 457268",81265318,PROPMAG MANAGEMENT SERVICES PTE LTD,66653880
2661,T02MC2661D,23/04/2002,BIZTECH CENTRE,Active,627A ALJUNIED ROAD SINGAPORE 389842,"627A ALJUNIED ROAD
#01-06 BIZTECH CENTRE
 SINGAPORE 389842",63488278,Iland Property Consultants Pte Ltd,63488278
2662,T02MC2662L,22/04/2002,HWA YEW INDUSTRIAL BUILDING,Active,17 MANDAI ESTATE SINGAPORE 729934,"10 MANDAI ESTATE
#2-1 HWA YEW INDUSTRIAL BUILDING
 SINGAPORE 729934",63668118,MCST,
2663,T02MC2663G,23/04/2002,PARC REGENCY,Active,315 PASIR PANJANG ROAD SINGAPORE 118652,"315 PASIR PANJANG ROAD
PARC REGENCY
 SINGAPORE 118652",62659138,A & L Property Services,62659138
2664,T02MC2664C,26/04/2002,ST. MARTIN RESIDENCE,Active,2 ST. MARTINS DRIVE SINGAPORE 257989,"8 ST. MARTINS DRIVE
#B1-21 ST. MARTIN RESIDENCE
 SINGAPORE 311125",81353155,,
2665,T02MC2665K,29/04/2002,THE CLEARWATER,Active,2 BEDOK RESERVOIR VIEW SINGAPORE 479232,"14 BEDOK RESERVOIR VIEW
#02-39 THE CLEARWATER
 SINGAPORE 479238",62437811,Absolut Properties Pte Ltd,67026018
2666,T02MC2666F,07/05/2002,SELETARIS CONDOMINIUM,Active,501 SEMBAWANG ROAD SINGAPORE 757706,"513 SEMBAWANG ROAD
#B1-83 SELETARIS CONDOMINIUM
 SINGAPORE 757712",68528348,Strata Land Property Consultants Pte Ltd,68528348
2667,T02MC2667B,11/05/2002,GEYLANG HERITAGE,Active,30 LORONG 34 GEYLANG SINGAPORE 398231,"34 LORONG 34 GEYLANG
GEYLANG HERITAGE
 SINGAPORE 398223",65333375,RHODO INTERNATIONAL STRATA MANAGEMENT SERVICES PTE LTD,65333375
2668,T02MC2668J,07/05/2002,THE EQUATORIAL,Active,151 STEVENS ROAD SINGAPORE 257872,"151 STEVENS ROAD
#01-06 THE EQUATORIAL
 SINGAPORE 257872",62350491,LE Property Consultancy Pte Ltd,96821704
2669,T02MC2669E,11/05/2002,AQUARIUS BY THE PARK,Active,1 BEDOK RESERVOIR VIEW SINGAPORE 478926,"1 BEDOK RESERVOIR VIEW
#02-01 AQUARIUS BY THE PARK
 SINGAPORE 478926",62430423,Savills Property Management Pte Ltd,63463238
2670,T02MC2670B,13/05/2002,JERSEY LODGE,Active,150 LORONG J TELOK KURAU SINGAPORE 423491,"150 LORONG J TELOK KURAU
JERSEY LODGE
 SINGAPORE 415979",64411184,A4 International Pte Ltd,64411184
2671,T02MC2671J,21/05/2002,Management Corporation Strata Title No.  2671,Active,36 TUAS VIEW SQUARE SINGAPORE 637613,"111D KING GEORGES AVENUE

 SINGAPORE 208559",62986855,A4 INTERNATIONAL PTE LTD,64411184
2672,T02MC2672E,23/05/2002,YISHUN EMERALD,Active,24 CANBERRA DRIVE SINGAPORE 768427,"34 CANBERRA DRIVE
#01-29 YISHUN EMERALD
 SINGAPORE 768432",68538010,Absolut Properties Pte Ltd,67026018
2673,T02MC2673A,29/05/2002,East Meadows,Active,30 TANAH MERAH KECHIL ROAD SINGAPORE 465558,"32 TANAH MERAH KECHIL ROAD
#01-24 EAST MEADOWS
 SINGAPORE 465559",64438862,Asia Properties & Assets Consultancy Pte Ltd,6802 3129
2674,T02MC2674H,05/06/2002,MORNINGSTAR CENTRE,Active,12 NEW INDUSTRIAL ROAD SINGAPORE 536302,"60D KALLANG PUDDING ROAD
#01-00 INGOLSTADT CENTRE
 SINGAPORE 349321",62923000,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100
2675,T02MC2675D,12/06/2002,SGX CENTRE,Active,2 SHENTON WAY SINGAPORE 68804,"4 SHENTON WAY
#05-01 SGX CENTRE 2
 SINGAPORE 068807",62362173,Singland Management Services (Pte) Ltd,6236 2173
2676,T02MC2676L,10/06/2002,BREEZY MANSIONS,Active,15 SANDILANDS ROAD SINGAPORE 546079,"15 SANDILANDS ROAD
#01-01 BREEZY MANSIONS
 SINGAPORE 546079",9669 9893,,
2677,T02MC2677G,24/06/2002,CARISSA PARK,Active,2 FLORA DRIVE SINGAPORE 507025,"2C FLORA DRIVE
#01-12 CARISSA PARK
 SINGAPORE 507025",67829411,Melana International Pte Ltd,63271110
2678,T02MC2678C,21/06/2002,INNOVATION PLACE,Active,25 MANDAI ESTATE SINGAPORE 729937,"25A MANDAI ESTATE
INNOVATION PLACE
 SINGAPORE 729935",63622955,Raffles Strata Management Pte Ltd,68411524
2679,T02MC2679K,22/06/2002,MIAPLACE,Active,116 ARTHUR ROAD SINGAPORE 439830,"116 ARTHUR ROAD
#01-01 MIAPLACE
 SINGAPORE 439830",81239280,,
2680,T02MC2680G,05/07/2002,EUPHONY GARDENS,Active,3 JALAN MATA AYER SINGAPORE 759150,"13A JALAN MATA AYER
#01-77 EUPHONY GARDENS
 SINGAPORE 759156",68522068,SRE Global Pte Ltd,62230169
2681,T02MC2681C,02/07/2002,SCN INDUSTRIAL BUILDING,Active,118 LORONG 23 GEYLANG SINGAPORE 388402,"118 LORONG 23 GEYLANG
#8-1 SCN INDUSTRIAL BUILDING
 SINGAPORE 388402",67444888,,
2682,T02MC2682K,16/07/2002,SEVEN HOLT ROAD,Active,7 HOLT ROAD SINGAPORE 249445,"7 HOLT ROAD
#01-04 SEVEN HOLT ROAD
 SINGAPORE 249445",63452117,,
2683,T02MC2683F,23/07/2002,HILLINGTON GREEN,Active,45 HILLVIEW AVENUE SINGAPORE 669613,"55 HILLVIEW AVENUE
HILLINGTON GREEN CONDOMINIUM
 SINGAPORE 669567",63148817,,
2684,T02MC2684B,25/07/2002,FAIRMOUNT CONDOMINIUM,Active,30 EASTWOOD ROAD SINGAPORE 486365,"30 EASTWOOD ROAD
FAIRMOUNT CONDOMINIUM
 SINGAPORE 486365",64685100,Chamber Property Management Services Pte Ltd,64685100
2685,T02MC2685J,23/07/2002,ORCHARD POINT,Active,160 ORCHARD ROAD SINGAPORE 238842,"60 ALBERT STREET
#04-01 OG ALBERT COMPLEX
 SINGAPORE 189969",-62102218,,
2686,T02MC2686E,25/07/2002,NOVENA SQUARE (Terminated),Terminated,238 THOMSON ROAD SINGAPORE 307683,"101 THOMSON ROAD
#33-00 UNITED SQUARE
 SINGAPORE 307591",62566680,UOL Management Services Pte Ltd,62566680
2687,T02MC2687A,05/08/2002,THE SUNNYDALE,Active,23 SERANGOON AVENUE 3 SINGAPORE 556125,"21 SERANGOON AVENUE 3
#01-07 THE SUNNYDALE
 SINGAPORE 556124",6256 9333,,
2688,T02MC2688H,02/08/2002,MIDVIEW BUILDING,Active,50 BUKIT BATOK STREET 23 SINGAPORE 659578,"50 BUKIT BATOK STREET 23
#B1-01 MIDVIEW BUILDING
 SINGAPORE 659578",65619467,Savills Property Management Pte Ltd,63483238
2689,T02MC2689D,12/08/2002,RIVERSIDE 48,Active,48 ROBERTSON QUAY SINGAPORE 238237,ROBERTSON QUAY,67363790,Edmund Tie & Company Property Management Services Pte Ltd,67363790
2690,T02MC2690A,07/08/2002,ST. MICHAEL'S CONDOMINIUM,Active,19A ST. MICHAELS ROAD SINGAPORE 328003,"19A ST. MICHAELS ROAD
#01-06 ST. MICHAEL'S CONDOMINIUM
 SINGAPORE 328003",69093017,D'Proman & Co. Pte Ltd,69093017
2691,T02MC2691H,08/08/2002,TOH SI CHENG GEE CHOR SHEE,Active,7 LORONG 35 GEYLANG SINGAPORE 387939,"7 LORONG 35 GEYLANG
#04-01 TOH SI BUILDING
 SINGAPORE 387939",96407655,,
2692,T02MC2692D,27/08/2002,CENTRAL VIEW,Active,52 HOUGANG STREET 11 SINGAPORE 538750,"52 HOUGANG STREET 11
#01-08 CENTRAL VIEW
 SINGAPORE 538750",62847553,Exceltec Property Management Pte Ltd,65665055
2693,T02MC2693L,26/08/2002,JURONG POINT SHOPPING CENTRE,Active,1 JURONG WEST CENTRAL 2 SINGAPORE 648886,"1 JURONG WEST CENTRAL 2
#03-07 JURONG POINT SHOPPING CENTRE
 SINGAPORE 648886",69508063,Mercatus Epsilon Co-operative Limited,69508063
2694,T02MC2694G,26/08/2002,JERVOIS JADE,Active,21 JERVOIS CLOSE SINGAPORE 249114,"21 JERVOIS CLOSE
#01-01 JERVOIS JADE
 SINGAPORE 249114",97362066,Propman Pte Ltd,97362066
2695,T02MC2695C,31/08/2002,CENTRAL MEADOWS,Active,51 LORONG 34 GEYLANG SINGAPORE 398240,"51 LORONG 34 GEYLANG
#01-01 CENTRAL MEADOWS
 SINGAPORE 398240",94248354,1 Property Asset Management Pte Ltd,94248354
2696,T02MC2696K,29/08/2002,ROSEVILLE,Active,2 ROSE LANE SINGAPORE 437384,"2 KALLANG AVENUE
#07-32 CT HUB
 SINGAPORE 339407",62915355,Wisely 98 Pte Ltd,62915355
2697,T02MC2697F,02/09/2002,ROSEVALE CONDOMINIUM,Active,32 LINCOLN ROAD SINGAPORE 308362,"32 LINCOLN ROAD
#B1-01 ROSEVALE CONDOMINIUM
 SINGAPORE 200808",,Ace Decision Facilities Management Pte Ltd,82225353
2698,T02MC2698B,13/09/2002,RIDGE COURT,Active,19 MEYAPPA CHETTIAR ROAD SINGAPORE 388459,"19 MEYAPPA CHETTIAR ROAD
#01-01 RIDGE COURT
 SINGAPORE 358459",63393779,First Boston Property Consultants Pte Ltd,63393779
2699,T02MC2699J,09/09/2002,TECHNIQUES CENTRE,Active,67 UBI CRESCENT SINGAPORE 408560,"67 UBI CRESCENT
#B1-00 TECHNIQUES CENTRE
 SINGAPORE 408560",65837867,AGM Real Estate Management Pte Ltd,65837867
2700,T02MC2700B,11/09/2002,,Active,,"172 JOO CHIAT PLACE

 SINGAPORE 427890",63466345,,
2701,T02MC2701J,14/09/2002,CRYSTAL LODGE,Active,30 LORONG 16 GEYLANG SINGAPORE 398870,"30 LORONG 16 GEYLANG
#01-01 CRYSTAL LODGE
 SINGAPORE 398870",96831831,Propman Pte Ltd,91769679
2702,T02MC2702E,14/09/2002,PRINSEP PLACE,Active,50 PRINSEP STREET SINGAPORE 188682,"2 JURONG WEST STREET 21
#05-04 IMM
 SINGAPORE 609601",65665055,Exceltec Property Management Pte Ltd,65665055
2703,T02MC2703A,02/10/2002,SIMS RESIDENCES,Active,8 LORONG 39 GEYLANG SINGAPORE 387882,"8 LORONG 39 GEYLANG
#01-15 SIMS RESIDENCES
 SINGAPORE 387882",67026018,Absolut Properties Pte Ltd,67026018
2704,T02MC2704H,03/10/2002,CHARLESTON,Active,10 SHANGHAI ROAD SINGAPORE 248184,"10 SHANGHAI ROAD
CHARLESTON
 SINGAPORE 248184",62211313,Property Facility Serivces Pte Ltd,62211313
2705,T02MC2705D,15/11/2002,FARRER COURT,Terminated,151A KINGS ROAD SINGAPORE 268163,"153 KINGS ROAD
#1-1 FARRER COURT
 SINGAPORE 266367",64746812,HBA GROUP PROPERTY CONSULTANTS PTE LTD,63387222
2706,T02MC2706L,10/10/2002,HAIG TEN,Active,1 HAIGSVILLE DRIVE SINGAPORE 438719,"1 HAIGSVILLE DRIVE
#B1-01 HAIG TEN
 SINGAPORE 438719",62207535,Kingston Property Maintenance Services Pte Ltd,62207535
2707,T02MC2707G,18/10/2002,HILLTOP GROVE,Active,134C HILLVIEW AVENUE SINGAPORE 669622,"134C HILLVIEW AVENUE
#02-01 HILLTOP GROVE
 SINGAPORE 669622",62195769,Exceltec Property Management Pte Ltd,65665055
2708,T02MC2708C,18/10/2002,THE PETALS,Active,87 HILLVIEW AVENUE SINGAPORE 669623,"97 HILLVIEW AVENUE
#B1-32 THE PETALS
 SINGAPORE 669628",67671050,Ocean IFM Pte Ltd,68861936
2709,T02MC2709K,12/10/2002,LIVINGSTON MANSIONS,Active,135 LORONG L TELOK KURAU SINGAPORE 425571,"60 KAKI BUKIT PLACE
#02-10 
 SINGAPORE 415979",64411184,A4 International Pte Ltd,64411184
2710,T02MC2710G,16/10/2002,ROSE MAISON,Active,10 HAIG AVENUE SINGAPORE 438865,"10 HAIG AVENUE
ROSE MAISON
 SINGAPORE 438865",62218288,SRE Management Services Pte Ltd,62218288
2711,T02MC2711C,25/10/2002,THE MONTANA,Active,8 JALAN MUTIARA SINGAPORE 249188,"8 JALAN MUTIARA
#B1-01 THE MONTANA
 SINGAPORE 249188",98382647,Savills Property Management Pte Ltd,98382647
2712,T03MC2712D,28/01/2003,LAKESIDE APARTMENTS,Active,9E YUAN CHING ROAD SINGAPORE 609434,"9E YUAN CHING ROAD
#01-60A LAKESIDE APARTMENTS
 SINGAPORE 618647",92293337,Pentagon Property Consultants Pte Ltd,98754004
2713,T02MC2713F,06/11/2002,THE HEEREN (terminated),Terminated,260 ORCHARD ROAD SINGAPORE 238855,"260 ORCHARD ROAD
#06-01 THE HEEREN
 SINGAPORE 238855",67384388,SWEE CHENG MANAGEMENT PTE LTD,67384388
2714,T02MC2714B,08/11/2002,HILLVIEW RESIDENCE,Active,138 HILLVIEW AVENUE SINGAPORE 669599,"138 HILLVIEW AVENUE
#01-02 HILLVIEW RESIDENCE
 SINGAPORE 669599",63102105,NOUVELLE PROPERTY MANAGEMENT SOLUTIONS PTE LTD,6265 2833
2715,T02MC2715J,08/11/2002,CRYSTAL DEW,Active,10 GEYLANG EAST AVENUE 1 SINGAPORE 389781,"10 GEYLANG EAST AVENUE 1
#01-01 CRYSTAL DEW
 SINGAPORE 389781",62981416,LE Property Consultancy Pte Ltd,96821704
2716,T02MC2716E,15/11/2002,MODENA,Active,35 SIMEI STREET 4 SINGAPORE 529869,"41 SIMEI STREET 4
#02-23 MODENA
 SINGAPORE 529872",Modena Condo,Melana International Pte Ltd,6587 7121
2717,T02MC2717A,16/12/2002,AMBERVILLE,Terminated,50D MARINE PARADE ROAD SINGAPORE 449267,"MARINE PARADE ROAD
#1-11 AMBERVILLE
 SINGAPORE 449267",63445981,,
2718,T02MC2718H,19/11/2002,MULTI-WIDE INDUSTRIAL BUILDING,Active,18 MANDAI ESTATE SINGAPORE 729910,"18 MANDAI ESTATE
#B1-01 MULTI-WIDE INDUSTRIAL BUILDING
 SINGAPORE 729910",63632330,CRANES REAL ESTATE PTE LTD,98398062
2719,T02MC2719D,22/11/2002,UBI TECHPARK,Active,10 UBI CRESCENT SINGAPORE 408564,"10 UBI CRESCENT
#02-05 UBI TECHPARK
 SINGAPORE 408564",67439163,Savills Property Management Pte Ltd,63463238
2720,T02MC2720A,28/11/2002,SOPHIA 88,Active,88 SOPHIA ROAD SINGAPORE 228188,"531 UPPER CROSS STREET
#03-52 HONG LIM COMPLEX
 SINGAPORE 050531",65333375,Rhodo Strata Management Services Pte Ltd,65333375
2721,T02MC2721H,02/12/2002,No. 8 Hullet Road,Terminated,8 HULLET ROAD SINGAPORE 229160,"8 HULLET ROAD
#01-01 NO. 8 HULLET ROAD
 SINGAPORE 229160",67379466,SHIN PROPERTY SERVICES PTE LTD,67379466
2722,T02MC2722D,04/12/2002,Management Corporation Strata Title No. 2722,Active,354 JOO CHIAT ROAD SINGAPORE 427600,"354 JOO CHIAT ROAD
#02-01 
 SINGAPORE 427600",92772332,,
2723,T02MC2723L,09/12/2002,KOVAN 81,Active,81 KOVAN ROAD SINGAPORE 548173,"81 KOVAN ROAD
KOVAN 81
 SINGAPORE 548173",91885150,Pentagon Property Consultants Pte Ltd,91885150
2724,T02MC2724G,11/12/2002,SUN PLAZA,Active,30 SEMBAWANG DRIVE SINGAPORE 757713,"30 SEMBAWANG DRIVE
#04-01 SUN PLAZA
 SINGAPORE 757713",68485795,Knight Frank Property Asset Management Pte Ltd,68485795
2725,T02MC2725C,17/12/2002,BELMONDO VIEW,Active,20 PEGU ROAD SINGAPORE 328369,"20 PEGU ROAD
BELMONDO VIEW
 SINGAPORE 328369",6274 7305,Camrie Project and Estate Management,9648 5428
2726,T02MC2726K,13/12/2002,BALMORAL PLACE,Active,20 BALMORAL CRESCENT SINGAPORE 259917,"20 BALMORAL CRESCENT
#1-1 BALMORAL PLACE
 SINGAPORE 259917",67358986,MCST,
2727,T02MC2727F,17/12/2002,MERLOT VILLE,Active,281 TELOK KURAU ROAD SINGAPORE 423847,"281 TELOK KURAU ROAD
#B1-01 MERLOT VILLE
 SINGAPORE 423847",68861936,,
2728,T02MC2728B,23/12/2002,PAYA LEBAR RESIDENCES,Active,27 PAYA LEBAR ROAD SINGAPORE 409042,"27 PAYA LEBAR ROAD
#01-01 PAYA LEBAR RESIDENCES
 SINGAPORE 409042",67417628,Exceltec Property Management Pte Ltd,65682033
2729,T02MC2729J,23/12/2002,THE ARMADALE,Active,60 GILSTEAD ROAD SINGAPORE 309104,"60 GILSTEAD ROAD
THE ARMADALE
 SINGAPORE 309104",63375277,RealtyLink Consultancy Pte Ltd,63375277
2730,T02MC2730F,30/12/2002,CRAIG PLACE,Active,20 CRAIG ROAD SINGAPORE 089692,"20 CRAIG ROAD
CRAIG PLACE
 SINGAPORE 089692",64385331,CBRE Pte Ltd,64385331
2731,T03MC2731G,09/01/2003,8 JERVOIS LANE,Active,8 JERVOIS LANE SINGAPORE 159187,"8 JERVOIS LANE
#01-01 8 JERVOIS LANE
 SINGAPORE 159187",96320320,,
2732,T03MC2732C,20/01/2003,SUNFLOWER LODGE,Active,9 LORONG 34 GEYLANG SINGAPORE 398207,"4 KAKI BUKIT AVENUE 1
#05-02 
 SINGAPORE 417939",68861936,Ocean IFM Pte Ltd,68861936
2733,T03MC2733K,22/01/2003,Management Corporation Strata Title No. 2733,Active,1019 UPPER SERANGOON ROAD SINGAPORE 534757,"1019 UPPER SERANGOON ROAD
#03-01 
 SINGAPORE 534757",94315145,NIL,65682035
2734,T03MC2734F,27/01/2003,The Twins,Active,6 BALMORAL CRESCENT SINGAPORE 259896,"430 LORONG 6 TOA PAYOH
#10-01 ORANGE TEE BUILDING
 SINGAPORE 319402",62211313,Property Facility Serivces Pte Ltd,6221 1313
2735,T03MC2735B,30/01/2003,LANGSTON VILLE,Active,15 KIM YAM ROAD SINGAPORE 239328,"15 KIM YAM ROAD
#01-01 LANGSTON VILLE
 SINGAPORE 239328",64111695,Chambers Property Management Services Pte Ltd,64111695
2736,T03MC2736J,10/02/2003,ENTERPRISE CENTRE/ THE SPIRE,Active,20 BUKIT BATOK CRESCENT SINGAPORE 658080,"20 BUKIT BATOK CRESCENT
#01-01A ENTERPRISE CENTRE
 SINGAPORE 658080",65656830,Wisely 98 Pte Ltd,62915355
2737,T03MC2737E,04/02/2003,INVEST HO BUILDING,Active,1 MACTAGGART ROAD SINGAPORE 368089,"420 NORTH BRIDGE ROAD
#06-01 NORTH BRIDGE CENTRE
 SINGAPORE 188727",63370087,Earnest Management Services Pte Ltd,63370087
2738,T03MC2738A,01/04/2003,LAKESIDE TOWERS,Active,9G YUAN CHING ROAD SINGAPORE 618649,"9G YUAN CHING ROAD
#01-70 LAKESIDE TOWERS
 SINGAPORE 618649",9229 3337,Ocean IFM Pte Ltd,98754004
2739,T03MC2739H,11/02/2003,KING'S ARCADE,Active,559 BUKIT TIMAH ROAD SINGAPORE 269695,"559 BUKIT TIMAH ROAD
#B2-01 KING'S ARCADE
 SINGAPORE 577180",6223 0169,Smart Property Management (Singapore) Pte Ltd,6223 0169
2740,T03MC2740E,08/02/2003,138 RACE COURSE RD,Active,138 RACE COURSE ROAD SINGAPORE 218591,"138 RACE COURSE ROAD
#03-07 
 SINGAPORE 218591",62917588,,
2741,T03MC2741A,11/02/2003,WILKIE REGENCY,Active,10 WILKIE TERRACE SINGAPORE 228030,"10 WILKIE TERRACE
#03-01 WILKIE REGENCY
 SINGAPORE 228030",6533 3375,Rhodora Integrated Facility Management Pte Ltd,65333375
2742,T03MC2742H,14/02/2003,SIMS MEADOWS,Active,8 LORONG 33 GEYLANG SINGAPORE 387977,"8 LORONG 33 GEYLANG
#01-01 SIMS MEADOWS
 SINGAPORE 387977",62501102,Bond Properties Pte Ltd,62501102
2743,T03MC2743D,13/02/2003,THOMSON VALE,Active,323 THOMSON ROAD SINGAPORE 307666,"323 THOMSON ROAD
THOMSON VALE
 SINGAPORE 307666",6842 1731,LANDSFIELD PROPERTY MANAGEMENT PTE LTD,68421731
2744,T03MC2744L,17/02/2003,HABITAT WAREHOUSE,Active,12 TAGORE DRIVE SINGAPORE 787621,"18 ROBINSON ROAD
#06-18 18 ROBINSON
 SINGAPORE 048545",63097350,PACIFIC CONSULTANTS PTE LTD,96459279
2745,T03MC2745G,24/02/2003,HORIZON GARDENS,Active,477 ANG MO KIO AVENUE 2 SINGAPORE 567894,"477 ANG MO KIO AVENUE 2
HORIZON GARDENS
 SINGAPORE 567894",65525007,LANDSFIELD PROPERTY MANAGEMENT PTE LTD,65525007
2746,T03MC2746C,24/02/2003,TOH GUAN CENTRE,Active,21 TOH GUAN ROAD EAST SINGAPORE 608609,"21 TOH GUAN ROAD EAST
#01-32 TOH GUAN CENTRE
 SINGAPORE 608609",68961813,,
2747,T03MC2747K,25/02/2003,MANAGEMENT CORPN STRATA TITLE PLAN NO 2747,Active,28 JERVOIS ROAD SINGAPORE 249006,"28 JERVOIS ROAD
#03-01 
 SINGAPORE 249006",67325128,,
2748,T03MC2748F,11/03/2003,THE QUEENS,Active,14 STIRLING ROAD SINGAPORE 148956,"14 STIRLING ROAD
#01-21 THE QUEENS CONDOMINIUM
 SINGAPORE 148956",64711213,Savills Property Management Pte Ltd,6346 3238
2749,T03MC2749B,10/03/2003,Management Corporation Strata Title No. 2749,Active,36 HAMILTON ROAD SINGAPORE 209206,"36 HAMILTON ROAD
#01-01 
 SINGAPORE 209206",63923638,,
2750,T03MC2750K,17/03/2003,SANDY PALM,Active,163A JALAN LOYANG BESAR SINGAPORE 509414,"162 BUKIT MERAH CENTRAL
#06-3545 
 SINGAPORE 150162",62218288,SRE Global Pte Ltd,62218288
2751,T03MC2751F,18/03/2003,MONTROSE TERRACE,Active,7A MOUNT ROSIE ROAD SINGAPORE 308062,"7A MOUNT ROSIE ROAD
MONTROSE TERRACE
 SINGAPORE 308058",96647807,,
2752,T03MC2752B,19/03/2003,TAIPAN REGENCY,Active,161 HAIG ROAD SINGAPORE 438772,"161 HAIG ROAD
#B1-01 TAIPAN REGENCY
 SINGAPORE 438772",64661342,Philip Motha Property Management Pte Ltd,64661342
2753,T03MC2753J,21/03/2003,THE OLIVIO,Terminated,30 SURREY ROAD SINGAPORE 307761,"51 GOLDHILL PLAZA
#23-8 
 SINGAPORE 308900",62569333,NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD,62569333
2754,T03MC2754E,04/04/2003,CHARISMA VIEW,Active,167 JALAN JURONG KECHIL SINGAPORE 598671,"167 JALAN JURONG KECHIL
#B1-01 CHARISMA VIEW
 SINGAPORE 598671",62497221,Realty International Associates Pte Ltd,62497221
2755,T03MC2755A,05/04/2003,MARTIA 8,Active,8 MARTIA ROAD SINGAPORE 424795,"2 JURONG EAST STREET 21
#05-05 IMM BUILDING
 SINGAPORE 609601",62523773,Exceltec Property Management Pte Ltd,62523773
2756,T03MC2756H,07/04/2003,HARMONY CENTRE,Active,81 LORONG 6 GEYLANG SINGAPORE 399232,"81 LORONG 6 GEYLANG
#2-1 HARMONY CENTRE
 SINGAPORE 399232",67419625,MCST,
2757,T03MC2757D,08/04/2003,NORTH LINK BUILDING,Active,13 ADMIRALTY STREET SINGAPORE 757687,"10 ADMIRALTY STREET
#01-91 NORTH LINK BUILDING
 SINGAPORE 757695",67524256,PROHOOD MANAGEMENT & FACILITY SERVICES PTE LTD,97623150
2758,T03MC2758L,10/04/2003,NASSIM WOODS,Terminated,19 NASSIM HILL SINGAPORE 258482,"19 
NASSIM WOODS
 SINGAPORE 258482",68366113,KEPPEL LAND INTERNATIONAL LIMITED,64337503
2759,T03MC2759G,12/04/2003,MENDON SPRING,Active,198 PASIR PANJANG ROAD SINGAPORE 117526,"198 PASIR PANJANG ROAD
#B1-05 MENDON SPRING
 SINGAPORE 117526",62230169,Smart Property Management (Singapore) Pte Ltd,62230169
2760,T03MC2760D,10/04/2003,D'SAVILLE,Active,22 JALAN TENGGIRI SINGAPORE 428268,"22 JALAN TENGGIRI
#01-01 D'SAVILLE
 SINGAPORE 428208",68861936,Ocean IFM Pte Ltd,68861936
2761,T03MC2761L,10/04/2003,38 Draycott Drive,Active,38 DRAYCOTT DRIVE SINGAPORE 259428,"38 DRAYCOTT DRIVE
#03-01 38 DRAYCOTT DRIVE
 SINGAPORE 259428",6848 5678,Knight Frank Property Asset Management Pte Ltd,6848 5678
2762,T03MC2762G,23/04/2003,COMPASS ONE & HEIGHTS,Active,1 SENGKANG SQUARE SINGAPORE 545078,"11 SENGKANG SQUARE
#02-32 COMPASS HEIGHTS AND COMPASS ONE
 SINGAPORE 545076",68190731,CBRE Pte Ltd,6224 8181
2763,T03MC2763C,14/04/2003,PASADENA,Active,2A DERBYSHIRE ROAD SINGAPORE 309470,"2A DERBYSHIRE ROAD
#B1-01 PASADENA
 SINGAPORE 309470",90038078,Chambers Property Management Services Pte Ltd,90038078
2764,T03MC2764K,14/04/2003,THE LOFT @ NASSIM HILL,Active,22 NASSIM HILL SINGAPORE 258468,"22 NASSIM HILL
#B1-01 THE LOFT
 SINGAPORE 258468",62389077,Edmund Tie & Company Property Management Services Pte Ltd,64179222
2765,T03MC2765F,21/04/2003,NICOLE GREEN,Active,68 GUILLEMARD ROAD SINGAPORE 399710,"68 GUILLEMARD ROAD
#01-01 NICOLE GREEN
 SINGAPORE 399710",62501102,Absolut Properties Pte Ltd,67026018
2766,T03MC2766B,19/04/2003,K J MANSION,Active,7 ROSYTH ROAD SINGAPORE 546144,"150 UPPER CROSS STREET
#01-11 FOOK HAI BUILDING
 SINGAPORE 058727",65322139,K & JJ PTE LTD,65322139
2767,T03MC2767J,26/04/2003,,Active,101 JOO CHIAT ROAD SINGAPORE 427395,"233 TELOK KURAU ROAD

 SINGAPORE 423838",,,
2768,T03MC2768E,29/04/2003,PROSPERO VILLE,Active,127 LORONG K TELOK KURAU SINGAPORE 425766,"127 LORONG K TELOK KURAU
PROSPERO VILLE
 SINGAPORE 425766",62502214,Phamous Facilities Management Pte Ltd,62502214
2769,T03MC2769A,29/04/2003,Management Corporation Strata Title No. 2769,Active,9 KELANTAN LANE SINGAPORE 208628,"16 PETAIN ROAD

 SINGAPORE 208092",62917588,MCST,
2770,T03MC2770J,30/04/2003,THE EDGE ON CAIRNHILL,Active,130 CAIRNHILL ROAD SINGAPORE 229717,"130 CAIRNHILL ROAD
#01-01 THE EDGE ON CAIRNHILL
 SINGAPORE 229717",62388163,Savills Property Management Pte Ltd,6346 3238
2771,T03MC2771E,13/05/2003,ADVANCE BUILDING,Active,19 BURN ROAD SINGAPORE 369974,"45 JALAN PEMIMPIN
#01-00 FOO WAH INDUSTRIAL BUILDING
 SINGAPORE 577197",62506811,,
2772,T03MC2772A,28/05/2003,PALM GROVE CONDOMINIUM,Active,19 PALM GROVE AVENUE SINGAPORE 547315,"19 PALM GROVE AVENUE
#B1-07 PALM GROVE CONDOMINIUM
 SINGAPORE 547315",62866345,A & L Property Services,6265 9138
